Samples,204252_at,211803_at,211804_s_at
GSM523464,1904.57,3.04,1223.32
GSM523465,1576.51,2.28,1309.33
GSM523466,1269.51,8.35,907.16
GSM523467,1641.5,1.0,1150.46
GSM523468,1217.53,1.02,1008.6
GSM523469,1000.05,1.02,676.64
