Samples,204252_at,211803_at,211804_s_at
GSM902399,11.1769,2.79,8.5129
GSM902400,11.2976,4.3318,7.8234
GSM902401,11.672,4.6021,8.8907
GSM902402,11.9405,5.2171,9.4175
GSM902403,11.2253,4.3574,8.5508
GSM902404,11.1822,1.1511,8.3171
GSM902405,11.4633,5.5955,9.0094
GSM902406,11.2638,4.5649,7.6991
